gene,kme
Mcavernosa04437,0.231038489758123
Mcavernosa04702,0.170845985589442
Mcavernosa04806,0.111157581728069
Mcavernosa04853,0.471035941017081
Mcavernosa04908,0
Mcavernosa05282,0.575131145566841
Mcavernosa05384,0
Mcavernosa05502,0.464757240770931
Mcavernosa05503,0
Mcavernosa05997,0.358223366289528
Mcavernosa06041,0
Mcavernosa06042,0.35881045586324
Mcavernosa06070,0
Mcavernosa12216,0.31922372058294
Mcavernosa12257,0.273793100536292
Mcavernosa12258,0.144335552113549
Mcavernosa12583,0.332760998129236
Mcavernosa12584,0.34924544790879
Mcavernosa12637,0
Mcavernosa12775,0.0338067651569956
Mcavernosa12876,0
Mcavernosa12925,0.158473167174407
Mcavernosa12973,0.426255549503903
Mcavernosa13018,0.326623569922175
Mcavernosa13449,0.188465534196345
Mcavernosa27857,0
Mcavernosa28146,0.669682935734209
Mcavernosa28201,0.596598994737297
Mcavernosa28309,0.260920158648173
Mcavernosa28444,0.108321414332669
Mcavernosa28597,0
Mcavernosa28677,0
Mcavernosa08533,0
Mcavernosa08620,0.30584119832185
Mcavernosa08678,0.130410269100303
Mcavernosa08949,0.565701247652806
Mcavernosa14296,0.082792677676425
Mcavernosa14334,0.752633776988392
Mcavernosa14496,0
Mcavernosa14495,0.109897889623525
Mcavernosa14673,0.332201745217114
Mcavernosa14805,0.12484091121102
Mcavernosa15301,0
Mcavernosa11293,0.603970279658358
Mcavernosa11342,0.198946940571697
Mcavernosa11555,0.5330428150479
Mcavernosa11600,0.32879483183827
Mcavernosa11910,0
Mcavernosa12063,0
Mcavernosa31888,0.864723579531703
Mcavernosa31942,0.187842519206954
Mcavernosa32020,0
Mcavernosa32046,0.191140115695115
Mcavernosa32394,0.369666654086498
Mcavernosa32422,0
Mcavernosa18264,0
Mcavernosa18421,0
Mcavernosa18479,0
Mcavernosa18476,0.205740829143162
Mcavernosa18540,0
Mcavernosa18763,0
Mcavernosa06644,0.66395396830105
Mcavernosa06807,0.425189836513961
Mcavernosa06954,0.449134856786217
Mcavernosa07100,0.172433117856242
Mcavernosa19170,0.504954437502782
Mcavernosa19273,0.538908880329679
Mcavernosa19332,0.338474541324882
Mcavernosa19362,0.30578632340741
Mcavernosa20025,0.453782596641492
Mcavernosa21971,0
Mcavernosa22031,0.489492685000511
Mcavernosa22225,0.160533008537185
Mcavernosa22366,0.158716946990613
Mcavernosa22410,0.394512664748055
Mcavernosa22476,0
Mcavernosa22520,0.135830781385106
Mcavernosa22582,0.0495775483552316
Mcavernosa22631,0.179367685894887
Mcavernosa22713,0.21432234805042
Mcavernosa15378,0
Mcavernosa15460,0.357366116355184
Mcavernosa15547,0.425792208919165
Mcavernosa15704,0
Mcavernosa15735,0
Mcavernosa15792,0.129292001637664
Mcavernosa15791,0.129292001637664
Mcavernosa15887,0
Mcavernosa16017,0.413134559456328
Mcavernosa16042,0
Mcavernosa10288,0
Mcavernosa10349,0.253632002315972
Mcavernosa10407,0
Mcavernosa10464,0.615203271582961
Mcavernosa10517,0
Mcavernosa10551,0.263267029911492
Mcavernosa10680,0.1899598956581
Mcavernosa10898,0
Mcavernosa11159,0
Mcavernosa11158,0
Mcavernosa11196,0.0714809722137629
Mcavernosa11197,0
Mcavernosa09380,0
Mcavernosa09478,0.236064494627953
Mcavernosa09530,0
Mcavernosa09692,0.22894625545383
Mcavernosa10121,0
Mcavernosa10204,0.216590434988043
Mcavernosa20997,0.836423873886455
Mcavernosa21024,0
Mcavernosa21177,0
Mcavernosa21211,0.210845843916488
Mcavernosa21290,0
Mcavernosa21420,0
Mcavernosa21508,0.0565808055976618
Mcavernosa21636,0
Mcavernosa21806,0.218970923789362
Mcavernosa26309,0
Mcavernosa26354,0.215051624639694
Mcavernosa26416,0
Mcavernosa26446,0.147025584792604
Mcavernosa26484,0.26429069282235
Mcavernosa26540,0.13517485973009
Mcavernosa26741,0.326515864143816
Mcavernosa26806,0
Mcavernosa27015,0.342075239464798
Mcavernosa27080,0
Mcavernosa20101,0.0591899701761339
Mcavernosa20347,0.0530685985810432
Mcavernosa20364,0
Mcavernosa20441,0.0819829062668113
Mcavernosa20536,0.166370532599284
Mcavernosa20584,0
Mcavernosa20648,0.268395568673431
Mcavernosa20735,0.0241092877710413
Mcavernosa20800,0
Mcavernosa20837,0
Mcavernosa20913,0
Mcavernosa20929,0.316774674433342
Mcavernosa17342,0
Mcavernosa17402,0.145123251868538
Mcavernosa17422,0
Mcavernosa17456,0.056093918988482
Mcavernosa17526,0.091894807697545
Mcavernosa17586,0
Mcavernosa17623,0.029384431520474
Mcavernosa17701,0.0761941001615206
Mcavernosa17748,0
Mcavernosa17856,0
Mcavernosa17909,0
Mcavernosa18067,0.255386020408205
Mcavernosa18146,0.0208715350177014
Mcavernosa18161,0.357381512022838
Mcavernosa22783,0.32715008304218
Mcavernosa22796,0
Mcavernosa22828,0.510612542183805
Mcavernosa22829,0.470159887124301
Mcavernosa23204,0
Mcavernosa23205,0.131884348132626
Mcavernosa23252,0.171029899938393
Mcavernosa23264,0
Mcavernosa23288,0
Mcavernosa23309,0.192293826372142
Mcavernosa23336,0
Mcavernosa23519,0
Mcavernosa23565,0
Mcavernosa00001,0.407356387109159
Mcavernosa00126,0
Mcavernosa00290,0
Mcavernosa00442,0.267603583241848
Mcavernosa00671,0.351172254449436
Mcavernosa00773,0.139421337451884
Mcavernosa29476,0.0622781853166669
Mcavernosa29498,0
Mcavernosa29510,0.0218128236989967
Mcavernosa29680,0
Mcavernosa29851,0
Mcavernosa29913,0
Mcavernosa29922,0
Mcavernosa29965,0
Mcavernosa29982,0.168037089875642
Mcavernosa30075,0
Mcavernosa30089,0.390719938133058
Mcavernosa30097,0
Mcavernosa25379,0
Mcavernosa25430,0
Mcavernosa25447,0
Mcavernosa25454,0
Mcavernosa25603,0
Mcavernosa25654,0.114497730327895
Mcavernosa25705,0
Mcavernosa25751,0.344385906739397
Mcavernosa25805,0
Mcavernosa25966,0
Mcavernosa26052,0
Mcavernosa26058,0
Mcavernosa26060,0.224843462235697
Mcavernosa26129,0.128018490565322
Mcavernosa26139,0
Mcavernosa26201,0.219952323440783
Mcavernosa23642,0
Mcavernosa23645,0
Mcavernosa23714,0
Mcavernosa23753,0.288973404926186
Mcavernosa23766,0.490588778943336
Mcavernosa23820,0.201696002829617
Mcavernosa23830,0.107974585481901
Mcavernosa23831,0
Mcavernosa23912,0
Mcavernosa23950,0
Mcavernosa23951,0
Mcavernosa23958,0
Mcavernosa23976,0
Mcavernosa24002,0
Mcavernosa24018,0
Mcavernosa24017,0
Mcavernosa24085,0
Mcavernosa24098,0.216488539821379
Mcavernosa24117,0.151774157544341
Mcavernosa24149,0.075990295588653
Mcavernosa24154,0.113132726411098
Mcavernosa24240,0.219979666328983
Mcavernosa24283,0
Mcavernosa27214,0.406301272327182
Mcavernosa27282,0
Mcavernosa27313,0.318026913251857
Mcavernosa27338,0
Mcavernosa27382,0
Mcavernosa27389,0
Mcavernosa27416,0
Mcavernosa27430,0
Mcavernosa27441,0
Mcavernosa27505,0.190063968682534
Mcavernosa27566,0.326863670673225
Mcavernosa27614,0
Mcavernosa27657,0.194756953082909
Mcavernosa27787,0
Mcavernosa30160,0.340681815498165
Mcavernosa30232,0
Mcavernosa30286,0.298035491724084
Mcavernosa30338,0
Mcavernosa30418,0
Mcavernosa30526,0
Mcavernosa30548,0.0493366922181806
Mcavernosa30619,0.0908603210238298
Mcavernosa30627,0
Mcavernosa30640,0.361067308627476
Mcavernosa30715,0
Mcavernosa34495,0
Mcavernosa34771,0.234066545838394
Mcavernosa34793,0.193800497233449
Mcavernosa34811,0.404371025872184
Mcavernosa34923,0
Mcavernosa35076,0.550711563307548
Mcavernosa28928,0.241922717646016
Mcavernosa28950,0.244378053768107
Mcavernosa28979,0
Mcavernosa28998,0.492495814060413
Mcavernosa29050,0.266241788089005
Mcavernosa29145,0
Mcavernosa33973,0
Mcavernosa34040,0
Mcavernosa34113,0.168728713124659
Mcavernosa34143,0.392509902599288
Mcavernosa34168,0.243679478392722
Mcavernosa34360,0
Mcavernosa34430,0
Mcavernosa33225,0
Mcavernosa33242,0
Mcavernosa33320,0.106858068436811
Mcavernosa33584,0.149671200716422
Mcavernosa33638,0
Mcavernosa33742,0.316297687229305
Mcavernosa32519,0.262655234655328
Mcavernosa32583,0.150240725327651
Mcavernosa32628,0
Mcavernosa32764,0.206075188460354
Mcavernosa32758,0.674020786185632
Mcavernosa32799,0
Mcavernosa32805,0.272543572779417
Mcavernosa32948,0
Mcavernosa33024,0
Mcavernosa33040,0
Mcavernosa33182,0
Mcavernosa33204,0
Mcavernosa01698,0.340526165690095
Mcavernosa01855,0.66278791994523
Mcavernosa35164,0
Mcavernosa35204,0.162822809628566
Mcavernosa03882,0.151829566169289
Mcavernosa03984,0.413794286691115
Mcavernosa07230,0.257922349825511
Mcavernosa07663,0.441692257940285
Mcavernosa07662,0.461675721319685
Mcavernosa07770,0.207478836040837
Mcavernosa24728,0.235700193302975
Mcavernosa24868,0.389238265253688
Mcavernosa24944,0.383710896671315
Mcavernosa24945,0.527888728262623
Mcavernosa16833,0.435750501055915
Mcavernosa16923,0.593001445075258
Mcavernosa16994,0
Mcavernosa16995,0.179023339951905
Mcavernosa17062,0.327265166570867
Mcavernosa17234,0
Mcavernosa02167,0.503447381241866
Mcavernosa02238,0.381111718274658
Mcavernosa02490,0.0500282718926514
Mcavernosa02746,0.505728372010752
Mcavernosa02827,0.182976790384798
Mcavernosa03028,0.0995147797779034
Mcavernosa03157,0.226864419217929
Mcavernosa30792,0.0549163427478984
